PLAYER	AutoDeposit	Automatically deposits selected inventory items into an ender chest.
PLAYER	AutoDrain	Picks up nearby liquid sources with a bucket.
PLAYER	AutoGG	Automatically sends a message in chat when you kill someone.
PLAYER	AutoTool	Automatically switches to the best mining tool and optional weapon slot.
PLAYER	ChestStealer	Randomly quick-moves items from open chest containers into inventory.
PLAYER	ElytraSwap	Swaps an elytra or chestplate from the hotbar into your chest slot.
PLAYER	Extinguish	Auto-douses the player with a water bucket when on fire.
PLAYER	FakePlayer	Spawns a fake player for testing combat and render modules.
PLAYER	FastPlace	Removes the right click item-use delay.
PLAYER	FastXP	Automatically throws experience bottles to repair equipped gear.
PLAYER	HoverTotem	Instantly offhands a hovered totem.
PLAYER	InventoryCleaner	Drops junk and weak duplicate armor/tools while inventory is open or NoMove is stationary.
PLAYER	Legit Scaffold	Sneaks at the edges of blocks
PLAYER	NoInteract	Blocks right-click interactions with storage blocks.
PLAYER	Opsec	Your favourite opsec mod, just inside Orchard.
PLAYER	PearlChase	Automatically throws a counter pearl towards an opponent's thrown ender pearl trajectory.
PLAYER	PingSpoof	Spoofs network latency for manual or opponent-matched ping.
PLAYER	Stray utils	Utilities for stray FFA gamemodes.
PLAYER	Teams	Prevents modules from targeting players that look like teammates.
PLAYER	WebAssist	Allows you to place ONLY cobwebs through entities.
PLAYER	XCarry	Keeps your crafting inventory open server-side for extra storage.
RENDER	2D ESP	Projects players as 2D boxes on the HUD.
RENDER	Animations	Custom first-person item animations.
RENDER	Chinahat	Draws a cone hat on player heads.
RENDER	Cosmetics	Applies a cosmetic cape to your local player.
RENDER	DivebombESP	Draws a three-block heatmap on the ground below every player.
RENDER	Fake Client	Spoofs client brand and channels for Fabric, Feather, or Lunar.
RENDER	FakeHacker	Makes a named player look at you and swing client-side.
RENDER	Freecam	Lets the camera fly independently around the world.
RENDER	FullBright	Keeps the world visually bright on the client.
RENDER	Glow	Applies a glowing outline to players using the current client theme.
RENDER	HitMarker	Plays a hitmarker sound and draws a marker on your crosshair after a hit.
RENDER	ItemESP	Highlights dropped items through walls.
RENDER	JumpCircle	Draws a theme-colored circle where you jumped.
RENDER	Nametags	Renders detailed informative tags above players.
RENDER	Nick Switcher	Replaces either your visible name or your tracked opponent's visible name and can copy another player's skin.
RENDER	No Bounce	Removes the end crystal hand bounce
RENDER	NoEffectView	Removes bad status-effect visuals from your camera.
RENDER	Player Hider	Hides all other players from your local view.
RENDER	PlayerLocator	Highlights selected players with outlines visible through walls.
RENDER	PopVisuals	Renders a fading frozen player ghost when a charm pop is received.
RENDER	RangeFinder	Draws a 3 block foot circle and warns when opponents enter it.
RENDER	Rotations	Shows silent server head rotations on the local player model.
RENDER	StashFinder	Logs nearby clusters of storage containers.
RENDER	Storage ESP	Highlights storage containers with colored boxes.
RENDER	StreamerMode	Moves HUD elements into an external overlay for streaming.
RENDER	TargetCircle	Renders an animated circle moving up and down around your current target.
RENDER	Trajectories	Renders predicted projectile paths for held and in-flight projectiles.
RENDER	Xray	Highlights searby ore blocks through walls.
